Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Pases x juego totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Pases totales,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases completos x partidos totales,Pases completos x cada 90 min,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Joël Veltman,32,Defender,Brighton & Hove Albion,Premier League,Netherlands,8.726804123711341,127.0,8.0,0.93,71.0,52.2,1.15,40.97,0.76,1042.0,1229.0,,,,,,,,,,,,,,,,,,,
Joel Ward,34,Defender,Crystal Palace,Premier League,England,8.737113402061857,113.0,15.0,2.21,81.0,39.49,1.17,35.0,0.26,687.0,910.0,,,,,,,,,,,,,,,,,,,
Joelinton,27,Forward,Newcastle United,Premier League,Brazil,9.033505154639176,,,,,,,37.78,,,,,,,31.22,33.75,,,,1.59,1.19,0.68,1.55,1.15,7.3,444.0,,,,
John McGinn,29,Midfielder,Aston Villa,Premier League,Scotland,8.943298969072165,,,,79.0,,,27.74,,766.0,943.0,,,,22.53,25.55,,,,,,,,,,,0.56,0.13,0.63,19.0
Jordan Ayew,32,Forward,Crystal Palace,Premier League,Ghana,8.762886597938145,,,,,,,20.86,,,,,,,16.58,21.04,,,,1.44,0.53,0.35,2.85,2.96,8.53,681.0,,,,
Jordan Henderson,33,Midfielder,Liverpool,Premier League,England,8.855670103092784,,,,59.0,,,43.46,,1291.0,1521.0,,,,36.89,56.05,,,,,,,,,,,0.89,0.09,1.35,31.0
Jordan Pickford,30,Goalkeeper,Everton,Premier League,England,8.91237113402062,,,,,,,30.92,,,1113.0,68.21,3.28,118.0,15.94,15.94,19.0,0.14,3.28,,,,,,,,,,,
Jorginho,32,Midfielder,Arsenal,Premier League,Italy,8.961340206185568,,,,67.0,,,49.94,,1380.0,1598.0,,,,43.12,58.15,,,,,,,,,,,0.38,0.13,0.51,12.0
José Sá,31,Goalkeeper,Wolverhampton Wanderers,Premier League,Portugal,8.945876288659795,,,,,,,28.0,,,896.0,63.01,2.88,92.0,18.59,18.59,18.0,0.25,2.88,,,,,,,,,,,
Joseph Willock,24,Midfielder,Newcastle United,Premier League,England,8.88917525773196,,,,74.0,,,24.89,,741.0,871.0,,,,21.17,25.88,,,,,,,,,,,1.14,0.31,1.4,40.0
Kai Havertz,24,Midfielder,Chelsea,Premier League,Germany,8.760309278350517,,,,74.0,,,24.91,,680.0,822.0,,,,20.61,25.21,,,,,,,,,,,1.06,0.28,1.3,35.0
Kaoru Mitoma,26,Midfielder,Brighton & Hove Albion,Premier League,Japan,8.765463917525775,,,,70.0,,,26.3,,719.0,868.0,,,,21.79,28.77,,,,,,,,,,,1.15,0.47,1.52,38.0
Kenny Tete,28,Defender,Fulham,Premier League,Netherlands,9.018041237113403,184.0,17.0,1.1,83.0,38.19,1.5,36.03,0.4,807.0,1045.0,,,,,,,,,,,,,,,,,,,
Kepa Arrizabalaga,29,Goalkeeper,Chelsea,Premier League,Spain,8.95360824742268,,,,,,,30.3,,,818.0,72.88,3.19,86.0,24.44,24.9,22.0,0.3,3.24,,,,,,,,,,,
Kevin De Bruyne,32,Midfielder,Manchester City,Premier League,Belgium,9.466494845360826,,,,76.0,,,42.12,,1091.0,1348.0,,,,34.09,40.49,,,,,,,,,,,3.06,0.85,3.64,98.0
Kieran Trippier,33,Defender,Newcastle United,Premier League,England,9.242268041237114,165.0,15.0,1.32,88.0,54.87,1.29,53.71,1.18,1556.0,2041.0,,,,,,,,,,,,,,,,,,,
Kiernan Dewsbury-Hall,25,Midfielder,Leicester City,Premier League,England,8.876288659793815,,,,75.0,,,35.27,,836.0,1058.0,,,,27.87,33.8,,,,,,,,,,,1.27,0.16,1.54,38.0
Kyle Walker-Peters,26,Defender,Southampton,Premier League,England,8.662371134020619,159.0,8.0,0.53,86.0,33.18,0.84,31.5,0.7,742.0,945.0,,,,,,,,,,,,,,,,,,,
Leandro Trossard,29,Forward,Arsenal,Premier League,Belgium,8.896907216494846,,,,,,,23.94,,,,,,,18.81,27.01,,,,0.64,1.06,0.92,2.03,1.2,3.31,282.0,,,,
Lewis Dunk,32,Defender,Brighton & Hove Albion,Premier League,England,9.015463917525775,122.0,27.0,1.85,90.0,85.74,0.51,83.78,0.57,2721.0,3016.0,,,,,,,,,,,,,,,,,,,
Lisandro Martínez,26,Defender,Manchester United,Premier League,Argentina,8.974226804123711,110.0,27.0,1.32,78.0,63.85,0.89,55.63,0.38,1311.0,1502.0,,,,,,,,,,,,,,,,,,,
Lloyd Kelly,25,Defender,AFC Bournemouth,Premier League,England,8.716494845360826,77.0,15.0,1.59,89.0,45.15,0.75,44.52,0.22,831.0,1024.0,,,,,,,,,,,,,,,,,,,
Lucas Paquetá,26,Midfielder,West Ham United,Premier League,Brazil,8.969072164948454,,,,78.0,,,38.46,,861.0,1077.0,,,,30.75,36.67,,,,,,,,,,,1.11,0.29,1.32,31.0
